Brew_ID,Name,City,State,
409,10 Barrel Brewing Company,Bend, OR,0
178,18th Street Brewery,Gary, IN,1
155,2 Towns Ciderhouse,Corvallis, OR,1
369,21st Amendment Brewery,San Francisco, CA,1
68,3 Daughters Brewing,St Petersburg, FL,1
61,4 Hands Brewing Company,Saint Louis, MO,1
28,450 North Brewing Company,Columbus, IN,1
482,7 Seas Brewing Company,Gig Harbor, WA,1
374,7venth Sun,Dunedin, FL,1
534,Abita Brewing Company,Abita Springs, LA,1
463,AC Golden Brewing Company,Golden, CO,1
368,Airways Brewing Company,Kent, WA,1
118,Alameda Brewing,Portland, OR,1
271,Alaskan Brewing Company,Juneau, AK,1
74,Ale Asylum,Madison, WI,1
389,Alltech's Lexington Brewing Company,Lexington, KY,1
402,Amnesia Brewing Company,Washougal, WA,1
36,Anchor Brewing Company,San Francisco, CA,1
172,Anderson Valley Brewing Company,Boonville, CA,1
147,Angry Minnow,Hayward, WI,1
543,Angry Minnow Brewing Company,Hayward, WI,1
435,Angry Orchard Cider Company,Cincinnati, OH,1
194,Anthem Brewing Company,Oklahoma City, OK,1
70,Appalachian Mountain Brewery,Boone, NC,1
542,Arcadia Brewing Company,Battle Creek, MI,1
514,Arctic Craft Brewery,Colorado Springs, CO,1
427,Armadillo Ale Works,Denton, TX,1
462,Armstrong Brewing Company,South San Francisco, CA,1
430,Asher Brewing Company,Boulder, CO,1
529,Asheville Brewing Company,Asheville, NC,1
354,Aslan Brewing Company,Bellingham, WA,1
524,Aspen Brewing Company,Aspen, CO,1
375,Astoria Brewing Company,Astoria, OR,1
73,Atwater Brewery,Detroit, MI,1
414,Austin Beerworks,Austin, TX,1
38,Avery Brewing Company,Boulder, CO,1
361,Aviator Brewing Company,Fuquay-Varina, NC,1
236,Back East Brewing Company,Bloomfield, CT,1
287,Back Forty Beer Company,Gadsden, AL,1
484,Bale Breaker Brewing Company,Yakima, WA,1
35,Ballast Point Brewing Company,San Diego, CA,1
319,Banner Beer Company,Williamsburg, MA,1
